seq_run,bio,tech,hash,prop
7,PO201807C,1,11a112ced1c85e620f6d97d82281a1bb58614e67,0.011288439081354613
7,PO201807C,3,11a112ced1c85e620f6d97d82281a1bb58614e67,0.006413113455157728
7,PO201807A,3,11a112ced1c85e620f6d97d82281a1bb58614e67,0.006974328535391008
7,TW201807C,1,11a112ced1c85e620f6d97d82281a1bb58614e67,0.005305493753208968
7,TW201807C,3,11a112ced1c85e620f6d97d82281a1bb58614e67,0.00979572070088932
7,PO201807A,1,11a112ced1c85e620f6d97d82281a1bb58614e67,0.012854741421932166
7,TW201807C,3,7be9b1e29a01bbf1b1fce56f741c9042cc39bdf7,0.00781456370520384
7,PO201807C,1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,0.027299857272609317
7,PO201807C,3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,0.03159510721537166
7,PO201807A,3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,0.02997477370529752
7,TW201807C,1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,0.008386103029265788
7,TW201807C,3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,0.02795632649467289
7,PO201807A,1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,0.023200336200929497
7,PO201807C,1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,0.03671986505773972
7,PO201807C,3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,0.09869756846431932
7,PO201807A,3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,0.061309788791611024
7,TW201807C,1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,0.01167208625705973
7,TW201807C,3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,0.012899533327463238
7,PO201807A,1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,0.04119697419163453
7,PO201807A,1,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,0.013460397508157817
7,PO201807C,1,9c1b08211a76599faa4a6763b8c564f85d586b36,0.25130400934215646
7,PO201807C,3,9c1b08211a76599faa4a6763b8c564f85d586b36,0.3459614717971574
7,PO201807A,3,9c1b08211a76599faa4a6763b8c564f85d586b36,0.3810407083147846
7,TW201807C,1,9c1b08211a76599faa4a6763b8c564f85d586b36,0.2114667123053226
7,TW201807C,3,9c1b08211a76599faa4a6763b8c564f85d586b36,0.22048076076428635
7,PO201807A,1,9c1b08211a76599faa4a6763b8c564f85d586b36,0.2803940472658954
