bio,Hash,Miseq_run,PCR1_prop,PCR2_prop
CP201709C,0003d13b8cad4275643e0b56de447d4b65e0bbc7,4,3.998080921157844e-5,1.0976647183117917e-4
CP201709C,0049e31d1f1a7dff27221956e97de26867d2b934,4,7.996161842315688e-5,6.311572130292802e-4
CP201709C,0092f101a5c9bf67c1f9efef6682591d5a5b894e,4,0,7.683653028182542e-4
CP201709C,009d368dbe8baf2d09365253ca299603380a483c,4,1.5992323684631377e-4,0
CP201709C,00dbbf878542ee432f04fadc166aa9faacbfd65c,4,7.996161842315688e-5,0
CP201709C,0153c8aefbbbf4533d1a7477513b3963e9a645c9,4,5.9971213817367666e-5,0
CP201709C,07c50c322fe8f80708431ff18da93c8b124bb879,4,0.002178954102031025,0
CP201709C,0b279de3af7bb109d134aa9b0231710fb2668aa6,4,0,1.3720808978897396e-4
CP201709C,0bdb8c52a826e616b0c8deff8fc8586acb7c34b7,4,5.9971213817367666e-5,0
CP201709C,0c0c6cf91154d722fbbdd5496519acd13c0efb07,4,7.996161842315688e-5,3.567410334513323e-4
CP201709C,104da1e4f51329558356d4342ff547dd859b589e,4,0,8.232485387338437e-4
CP201709C,11a112ced1c85e620f6d97d82281a1bb58614e67,4,0.2750479769710539,0.2593781729370764
CP201709C,140dd6bedfa7502c32980cf0649713e9194ff090,4,0,1.3720808978897396e-4
CP201709C,161b1e4b589efe004947f5d68f61f5ae0cc4dd75,4,9.995202302894611e-5,0
CP201709C,16a87c04513e0b31b3aa94015564272f0c7efb05,4,2.1989445066368144e-4,0
CP201709C,17585e5fc601ba25d02d211cce3435af5a395c4d,4,0.018331201023508714,0.017974259762355588
CP201709C,187521685384321a736cd7cb1383d981efd165e5,4,1.5992323684631377e-4,2.1953294366235834e-4
CP201709C,19e8ef16ddd46a6db3ced6208f6a9d9fb5aca4e8,4,0,8.232485387338437e-5
CP201709C,1b48c6125c806403513293bf8b8a345fb27c2be7,4,1.3993283224052454e-4,0
CP201709C,1be582f4864bb68faa5cc5f7218171f26c3076b0,4,0,1.9209132570456355e-4
CP201709C,1e51070771b4d6208e8eb6d7529657e1ddc101aa,4,0,0.005049257704234242
CP201709C,20f178cb5f2fb582260fe246f911243725e092d7,4,0,5.4883235915589584e-5
CP201709C,21339049f9f2dbbe4bd1a551573819232612257c,4,7.19654565808412e-4,0
CP201709C,2168871400edbe110f494c91595a4188c83278ae,4,0,3.567410334513323e-4
CP201709C,237b10c5a4e852622e815af2fe3f7263bd1d59cb,4,0.0018591076283383976,0
CP201709C,23fafb0c9978a936545740ee5db1ba4fabc142f6,4,2.9985606908683834e-4,1.6464970774676875e-4
CP201709C,243b0ee3206bd1fb74f342b873fd010315a395e5,4,0.01027506796737566,0.012568261024670015
CP201709C,243c37c009452e4017a57563e628813329b6d9ee,4,0,4.3906588732471667e-4
CP201709C,25afd41ec2868a70038fc62f6b9bd66a78297207,4,0,8.232485387338437e-5
CP201709C,262fe4ac67678a664e833755f2ad5af443b5143c,4,3.59827282904206e-4,0
CP201709C,27804d05b9aab108ce8f1a93daded1ae8e991aad,4,0,7.134820669026646e-4
CP201709C,2806fa8a55ccd3159ff6d46439f8d40e42051673,4,7.19654565808412e-4,0
CP201709C,2830957c9f93454b15f8381a54bc0569dd987ffa,4,0,8.232485387338437e-5
CP201709C,283f4cf4e1e1e200782b80df707d16aecfac1552,4,0,1.6464970774676875e-4
CP201709C,29b1e4d656af5084f46279bbce2d18fd324004f2,4,0,3.018577975357427e-4
CP201709C,2ae6423788a5858c650673929d68a593f6afb7e8,4,0,5.4883235915589584e-5
CP201709C,2ce1385490762782578e3e762b1f54f7d6d4d74e,4,3.1984647369262754e-4,0
CP201709C,2d5f0d95c42dcc8388a17558ee27b1041afe7f68,4,1.79913641452103e-4,0
CP201709C,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4,0.02598752598752599,0.05990505200186603
CP201709C,2f5723a58d69dbcde6737abcbcb6e2a3d0455382,4,0.015012793858947705,0.01306221014791032
CP201709C,2fa4fc29f2f76fb78e79630887df3fe9a37f32da,4,0,1.3720808978897396e-4
CP201709C,325d3c04be3f219d5a79d781c2c6d2acb78c2963,4,3.59827282904206e-4,1.9209132570456355e-4
CP201709C,329090d077f862ed845b9dd5a7de2905464cd903,4,0.004477850631696785,0.004418100491204962
CP201709C,34cdf55b1b94725a122f2926508a29ed60aea543,4,1.79913641452103e-4,0
CP201709C,359ca07214fde0ffb15f089dbf0eb1ac40e43dff,4,0.0019390692467615544,0
CP201709C,35d274206c6d0441355bf951a4eb150af3cdb708,4,0,0.005186465794023216
CP201709C,3632507e36b0952e1c707858a3d28cf45062ca93,4,5.9971213817367666e-5,0
CP201709C,384e32d2e679c7bd100d6709ad92b14436d70aaa,4,0,1.0976647183117917e-4
CP201709C,391312bf9c2c070b0d1afdbc609959fec1c1773a,4,0.0014792899408284023,0.005186465794023216
CP201709C,3b11e92c14ed44d964d5ef6d57a10811967ff690,4,3.9980809211578443e-4,0
CP201709C,3bbc6272a953cba6747a92517b1e0a35ea128858,4,1.9990404605789222e-4,0.0016464970774676875
CP201709C,3c8024c663dbf0f8d9db22efba4a702a9502c059,4,0.0011994242763473534,0
CP201709C,3c94788621a6903acba45519bf310957a9bea20e,4,6.796737565968335e-4,1.6464970774676875e-4
CP201709C,3d1145ee1cd9deecea59a0bb48df511999e1eb98,4,0,8.232485387338437e-5
CP201709C,3db64d9555a5461037307c2ce8496733496ed607,4,3.998080921157844e-5,0
CP201709C,40e67f6fa5617662252b790eddd09a8525ca63f1,4,0,3.018577975357427e-4
CP201709C,4178d3e55cb5a4bb27bef0c8b478b3bb7b9dabba,4,0,5.762739771136906e-4
CP201709C,433f1af44603d12596cb3c6f0ef504ea0fde6884,4,0.0153926115464577,0.023380258500041162
CP201709C,4356aed71d47fc63bf9a263c2342c31b770d2dd2,4,1.79913641452103e-4,0
CP201709C,438b8a97385082b3b12ffcc6e0fcfb4b22b9602a,4,0.002718695026387334,9.33015010565023e-4
CP201709C,43c50ccbfbcc8a542c69a481e4967592987f6133,4,1.1994242763473533e-4,0
CP201709C,43cdd9bcff01e80713af243417de400f0b175a07,4,5.797217335678874e-4,0
CP201709C,4546a803bece47cdc8f17bf579fb78126c1eb30c,4,4.7976971053894133e-4,7.134820669026646e-4
CP201709C,47262502d2eb5212964075d43852adcb0192449f,4,9.995202302894611e-5,0
CP201709C,48238b65055a8a65e88dcab3a9c221a4a21c94fb,4,1.1994242763473533e-4,0
CP201709C,4926d9f59e5890646fb23025270ab109e7f17d81,4,7.996161842315688e-5,0
CP201709C,4938d4d94b6d922885278d084ceaddc51b0e9506,4,2.798656644810491e-4,0
CP201709C,4b878acce00f9a3d5cdc1f3344ec325a7dd28784,4,0.025307852230929153,0.022941192612716446
CP201709C,4b9195c37c8ce1627b68ef62f0d94d13a337f8f8,4,0,3.567410334513323e-4
CP201709C,4c3e9df89305cc112b3f1481ff7df2868f7045e6,4,0,5.488323591558959e-4
CP201709C,4dc52fdc04ae6b5ca0069b00c0ed9856e4cc23c0,4,0.0011994242763473534,0.0012074311901429707
CP201709C,4e78655338655894401bf7eb1efee55c1451314d,4,2.1989445066368144e-4,6.860404489448698e-4
CP201709C,4ff6ff7d06ee25af5898cd90398a1c347384832f,4,1.3993283224052454e-4,0
CP201709C,51baf87eba756bc06ae11f3731e03df5e1b12fdf,4,0,0.0010976647183117917
CP201709C,52ac6f8082f0cfa8b07863f388b5c15ef1ccb145,4,0.029485846793539102,0.019895173019401222
CP201709C,52bc6d5bf34e61f1f6ef7411eb9db0808100e5a2,4,5.9971213817367666e-5,0
CP201709C,56a7e3ca04245b2dbd25ae606af2aa452064362d,4,5.9971213817367666e-5,3.292994154935375e-4
CP201709C,5ab9a0a633f2bf23850c792190053f1afc85e7fa,4,4.397889013273629e-4,0
CP201709C,5ae1341da7ed3b29f88201563c85b12b0112a65a,4,0.07082600351831121,0.077961636618095
